id,product,description
1,Смартфон X100,"Бренд: TechPro, Цена: 24990 руб. Смартфон с 6.5-дюймовым экраном 90 Гц, 128 ГБ памяти и батареей 5000 мАч. Быстрая зарядка 33 Вт."
2,Кроссовки AirRun,"Бренд: SportMax, Цена: 4590 руб. Легкие дышащие кроссовки для бега с амортизирующей подошвой. Идеальны для ежедневных тренировок."
3,Кофеварка EspressoHome,"Бренд: HomeKit, Цена: 12990 руб. Приготовление эспрессо, американо и капучино за минуту. Мощность 1350 Вт, съемный поддон."
4,Футболка CottonWear,"Бренд: StyleMe, Цена: 990 руб. Хлопковая футболка классического кроя. Дышащий материал, не теряет форму после стирок."
5,Наушники SoundPods,"Бренд: AudioWave, Цена: 3490 руб. TWS наушники с активным шумоподавлением и игровым режимом. До 25 часов работы с кейсом, влагозащита IPX4."
6,Кухонный комбайн ChefPro,"Бренд: HomeKit, Цена: 12490 руб. Мощность 1000 Вт, 5 насадок в комплекте: терка, слайсер, блендер, венчик и соковыжималка. Режет, взбивает, замешивает тесто."
7,Рюкзак CityPack,"Бренд: TravelGear, Цена: 1990 руб. Водоотталкивающий нейлон, отделение для ноутбука до 15.6″, скрытый карман для ценностей. Объем 20 литров."
8,Умная колонка VoiceMate,"Бренд: TechPro, Цена: 5990 руб. Голосовой помощник с управлением умным домом. Отличный звук 360°, Bluetooth 5.0, поддержка 30+ сервисов."
9,Джинсы SlimFit,"Бренд: StyleMe, Цена: 3490 руб. Джинсы из эластичного денима с эффектом легких потертостей. Хорошо тянутся, сидят по фигуре. Цвет: темно-синий."
10,Кроссовки TrailRun,"Бренд: SportMax, Цена: 6990 руб. Треккинговые кроссовки для бездорожья. Протекторная подошва, защита носка, мембрана от влаги."
11,Микроволновая печь QuickHeat,"Бренд: HomeKit, Цена: 8490 руб. Мощность 800 Вт, объем 23 литра. Механическое управление, тарелка 27 см. Разморозка и подогрев за секунды."
12,Смарт-часы FitBand,"Бренд: TechPro, Цена: 7490 руб. 1.4″ AMOLED дисплей, пульсометр, шагомер, мониторинг сна и стресса. Автономность 10 дней, плаванию не боятся."
13,Сумка CrossBag,"Бренд: CityStyle, Цена: 1490 руб. Небольшая сумка через плечо из экокожи. 2 отделения на молнии, регулируемый ремень. Помещается телефон, ключи, пауэрбанк."
14,Пылесос CyclonePro,"Бренд: CleanHome, Цена: 15990 руб. Беспроводной вертикальный с циклонной фильтрацией. Мощность всасывания 150 AW, два режима, до 45 мин работы."
15,Куртка WinterShield,"Бренд: StyleMe, Цена: 7990 руб. Стеганая куртка с водоотталкивающей пропиткой. Утеплитель 250 г, съемный капюшон и 4 кармана, до -15°C."
16,Соковыжималка JuiceMaster,"Бренд: HomeKit, Цена: 3990 руб. Шнековая медленного отжима. Сохраняет витамины и клетчатку. Легкая разборка и мытье."
17,Кресло ComfortDay,"Бренд: RelaxHome, Цена: 9990 руб. Ортопедическая спинка, регулировка высоты и подлокотников. Выдерживает до 120 кг. Для дома и офиса."
18,Смартфон Y200,"Бренд: TechPro, Цена: 15990 руб. 6.7-дюймовый экран, 64 ГБ памяти, поддержка 5G. Два слота для SIM-карт и карты памяти."
19,Палатка CampHike,"Бренд: TravelGear, Цена: 5490 руб. Трехсезонная на 2 человек. Двойной слой, водонепроницаемость 3000 мм. Вес 2.2 кг, легкая сборка."
20,Блендер SmoothMix,"Бренд: HomeKit, Цена: 2990 руб. Погружной 800 Вт с насадкой-венчиком и мерным стаканом. Для пюре, коктейлей, соусов."
21,Лыжи SnowGlide,"Бренд: SportMax, Цена: 12990 руб. Универсальные горные лыжи для карвинга и фристайла. Длина 160 см, подходят для новичков и среднего уровня."
22,Чайник FastBoil,"Бренд: HomeKit, Цена: 1390 руб. Стеклянный с синей подсветкой. Мощность 2200 Вт, автоматическое отключение при закипании."
23,Наручные часы ClassicGold,"Бренд: TimeStyle, Цена: 3990 руб. Золотистый корпус, кожаный ремешок, японский кварцевый механизм. Водозащита WR30."
24,Игровая мышь SpeedClick,"Бренд: TechPro, Цена: 1890 руб. 16000 DPI, 9 программируемых кнопок, RGB подсветка. Отклик 1 мс, подходит для киберспорта."
25,Штатив ProStable,"Бренд: FotoSnap, Цена: 3490 руб. Алюминиевый высотой до 150 см. Панорамная головка, быстрозажимные замки и чехол в подарок."
26,Подушка SleepWell,"Бренд: RelaxHome, Цена: 2990 руб. Пена с эффектом памяти, анатомическая форма. Съемный чехол из бамбука. Размер 60×40 см."
27,Велосипед CityRider,"Бренд: SportMax, Цена: 18990 руб. 21 скорость, амортизационная вилка, дисковые тормоза. Рама из хромомолибдена, вес 14 кг."
28,Пленка защитная HDClear,"Бренд: TechPro, Цена: 390 руб. Для смартфона X100. Закаленное стекло 9H, олеофобное покрытие. Легко клеится без пузырей."
29,Кофе в зернах Aromatica,"Бренд: TasteGood, Цена: 890 руб. Арабика 100%, средняя обжарка. С нотами шоколада и орехов. Пачка 500 г."
30,Матрас DreamNight,"Бренд: RelaxHome, Цена: 12990 руб. Ортопедический с независимыми пружинами. Жесткость средняя, высота 20 см. Обшивка жаккардом."
31,Брюки CasualWear,"Бренд: StyleMe, Цена: 2790 руб. Хлопковые брюки-чинос со стрелками. Дышащие, с двумя боковыми и двумя задними карманами. Цвет: бежевый."
32,Самокат ElectroCruiser,"Бренд: SportMax, Цена: 34990 руб. Электро, запас хода до 25 км, скорость до 25 км/ч. 8.5″ колеса, передний амортизатор. Складная рама."
33,Фен FastDry,"Бренд: CleanHome, Цена: 2790 руб. Ионная технология, 2 скорости и 3 режима нагрева. Концентратор для укладки. Мощность 2100 Вт."
34,Стул OfficeFit,"Бренд: RelaxHome, Цена: 7990 руб. Компьютерное кресло с эргономичной спинкой, газлифт, колесики для паркета. Регулировка высоты и наклона."
35,Банка нута,"Бренд: TasteGood, Цена: 320 руб. Консервированный, уже вареный. Объем 400 г. Для салатов, хумуса и гарниров. Без ГМО."
36,Роутер WiFiMax,"Бренд: TechPro, Цена: 4590 руб. Dual-band с 4 внешними антеннами. Скорость до 1200 Мбит/с, поддержка Mesh и IPTV."
37,Кепка SunBlock,"Бренд: StyleMe, Цена: 690 руб. Кепка-шестиклинка из 100% хлопка. Регулируемая пряжка, загнутый козырек. Цвет: хаки."
38,Термос BigHold,"Бренд: TravelGear, Цена: 1290 руб. Стальной объемом 1 литр. Широкое горло, держит тепло до 12 часов. Колпачок-стаканчик."
39,Ручка Ballpoint Pro,"Бренд: StationPlus, Цена: 190 руб. С металлическим корпусом, синие чернила. Толщина линии 0.7 мм, удобный хват. В подарочной упаковке."
40,Коньки IceBlade,"Бренд: SportMax, Цена: 6490 руб. Хоккейные полу-профи с термоформуемой колодкой. Лезвие из нержавейки, защищенный носок."
41,Набор отверток 6 шт,"Бренд: ToolMaster, Цена: 890 руб. С магнитными наконечниками (крестовая и плоская). Хромированная сталь, прорезиненные ручки."
42,Электронная книга ReadMe,"Бренд: TechPro, Цена: 12990 руб. 6.8″ E-ink дисплей с регулируемой подсветкой. 16 ГБ памяти, поддержка 10 форматов книг."
43,Свитер MerinoWool,"Бренд: StyleMe, Цена: 4990 руб. Из 100% мериносовой шерсти. Мягкий, не колется, дышит и не впитывает запахи. Стойка и длинный рукав."
44,Молоко растительное,"Бренд: TasteGood, Цена: 180 руб. Овсяное, 1 литр. Без лактозы и сахара. Для каш, кофе и смузи."
45,Стикер геймерский,"Бренд: StationPlus, Цена: 90 руб. Виниловый 5×5 см для ноутбука или системника. Дизайн: контроллер и джойстик."
46,Перчатки велосипедные,"Бренд: SportMax, Цена: 1490 руб. С защитой костяшек и силиконовыми вставками для амортизации. Дышащая сетка, регулировка на липучке."
47,Фотокнига MyMemories,"Бренд: FotoSnap, Цена: 1490 руб. 20 страниц глянцевой бумаги, твердая обложка. Размер 20×20 см."
48,Ноутбук WorkMate 14,"Бренд: TechPro, Цена: 67990 руб. 14″ IPS 2,8K, 16 ГБ ОЗУ, SSD 512 ГБ, Intel Core i7. Для работы и творчества."
49,Спальник LightPack,"Бренд: TravelGear, Цена: 3990 руб. Температура комфорта +5°C. Вес 1.1 кг, материал — синтепон. Сжимается в рюкзак 25×15 см."
50,Масло оливковое Extra Virgin,"Бренд: TasteGood, Цена: 990 руб. Холодный отжим, кислотность 0.5%. Бутылка 500 мл. Для заправок и жарки."
